City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
81,Tasiilaq,100,GL,1666232330,97,65.6145,-37.6368,33.96,8.79
82,Port Hedland,0,AU,1666232448,21,-20.3167,118.5667,95.05,10.36
83,Albany,62,US,1666232336,77,42.6001,-73.9662,43.45,4.79
84,Gouré,96,NE,1666232449,23,13.9835,10.2704,79.83,9.73
85,Sakaiminato,20,JP,1666232449,52,35.55,133.2333,64.38,5.75
86,Avarua,20,CK,1666232450,69,-21.2078,-159.775,78.85,11.5
87,Krasnyy Yar,99,RU,1666232450,90,46.5331,48.3456,51.73,5.57
88,Hamilton,0,US,1666232450,44,39.1834,-84.5333,45.86,10.36
89,Hastings,100,GB,1666232451,96,50.8552,0.5729,61.52,12.03
90,Esperance,65,AU,1666232451,59,-33.8667,121.9,73.24,16.51
91,Castro,99,BR,1666232188,95,-24.7911,-50.0119,60.62,3.78
92,Henties Bay,96,NA,1666232452,86,-22.116,14.2845,58.91,7.49
93,Ancud,100,CL,1666232452,96,-41.8697,-73.8203,53.22,17.96
94,Berdigestyakh,100,RU,1666232453,91,62.0989,126.6992,21.54,8.59
95,Cherskiy,100,RU,1666232453,95,68.75,161.3,25.32,8.61
96,Vila Velha,75,BR,1666232453,97,-20.3297,-40.2925,69.94,2.3
97,Pisco,0,PE,1666232454,88,-13.7,-76.2167,60.03,13.8
98,Bowen,42,AU,1666232454,75,-20.0167,148.2333,80.82,8.28
99,Ilulissat,100,GL,1666232454,74,69.2167,-51.1,28.42,8.05
100,Ola,99,RU,1666232455,42,59.5833,151.2833,28.09,13.47
101,Mount Gambier,6,AU,1666232455,52,-37.8333,140.7667,69.84,8.61
102,Marana,0,US,1666232456,27,32.4367,-111.2254,79.36,5.75
103,Chiredzi,38,ZW,1666232456,65,-21.05,31.6667,66.16,3.71
104,Flin Flon,96,CA,1666232456,78,54.7682,-101.865,46.0,4.76
105,Awjilah,68,LY,1666232457,56,29.1081,21.2869,69.62,6.49
106,Port Keats,65,AU,1666232457,58,-14.25,129.55,91.08,8.12
107,Cabo San Lucas,0,MX,1666232458,69,22.8909,-109.9124,81.7,3.44
108,Hobart,8,AU,1666232254,59,-42.8794,147.3294,67.05,1.99
109,Bluff,81,NZ,1666232458,77,-46.6,168.3333,50.13,30.56
110,Lázaro Cárdenas,100,MX,1666232458,84,17.9583,-102.2,79.05,1.72
111,Mahébourg,20,MU,1666232459,77,-20.4081,57.7,67.24,3.44
112,Faanui,28,PF,1666232459,75,-16.4833,-151.75,79.0,7.09
113,Kieta,44,PG,1666232460,61,-6.2167,155.6333,86.83,5.95
114,Dingle,90,PH,1666232460,75,10.9995,122.6711,84.56,4.56
115,Yellowknife,20,CA,1666232229,93,62.456,-114.3525,43.32,9.22
116,Calintaan,90,PH,1666232465,69,12.5667,120.9333,86.14,7.27
117,Cayenne,0,GF,1666232465,94,4.9333,-52.3333,77.04,0.0
118,Faya,0,SA,1666232466,32,18.3851,42.4509,53.71,4.12
119,Dobryanka,39,RU,1666232466,95,58.4619,56.4165,31.51,4.92
120,Sept-Îles,100,CA,1666232466,99,50.2001,-66.3821,50.52,14.97
121,Plettenberg Bay,29,ZA,1666232467,81,-34.0527,23.3716,63.43,12.06
122,Gijón,1,ES,1666232467,89,43.5357,-5.6615,62.8,1.01
123,Barcelos,53,PT,1666232468,89,41.5388,-8.6151,60.94,14.03
124,Portland,20,US,1666232468,69,45.5234,-122.6762,68.83,5.01
125,Beyneu,100,KZ,1666232468,51,45.3167,55.2,52.21,16.35
126,Camapuã,34,BR,1666232469,62,-19.5314,-54.0439,75.58,4.36
127,Kruisfontein,12,ZA,1666232469,65,-34.0033,24.7314,68.88,25.66
128,Qaqortoq,0,GL,1666232470,55,60.7167,-46.0333,34.07,29.84
129,Khatanga,100,RU,1666232470,96,71.9667,102.5,19.11,4.0
130,Lhokseumawe,100,ID,1666232471,81,5.1801,97.1507,80.22,2.64
131,Husavik,100,IS,1666232471,74,66.0449,-17.3389,31.51,10.4
132,Saskylakh,41,RU,1666232472,96,71.9167,114.0833,1.35,3.31
133,Labuhan,98,ID,1666232472,71,-6.8844,112.2051,84.24,3.94
134,Puerto Ayora,60,EC,1666232472,80,-0.7393,-90.3518,68.34,7.87
